O/F,Pc_psia,Isp_s,Tc_R,Tt_R,Te_R,MW_lbm_lbmol,Gamma,Optimal_Eps,Pe_to_Pamb
1.30,800,242.95,2397.14,2235.05,1374.46,17.2921,1.1751,8.40,1.0061
1.30,850,243.11,2405.39,2242.53,1377.24,17.3255,1.1752,8.90,0.9930
1.30,900,243.27,2413.22,2249.62,1379.87,17.3575,1.1754,9.30,0.9941
1.30,950,243.42,2420.67,2256.36,1382.36,17.3881,1.1756,9.70,0.9945
1.30,1000,243.56,2427.78,2262.80,1384.74,17.4175,1.1757,10.00,1.0070
1.40,100,239.02,2199.76,2042.61,1303.85,16.7581,1.1790,1.80,1.0298
1.40,150,240.16,2241.31,2082.22,1319.67,16.8777,1.1793,2.40,1.0051
1.40,200,240.97,2272.52,2111.64,1331.25,16.9736,1.1797,3.00,0.9774
1.40,250,241.61,2297.72,2135.21,1340.43,17.0546,1.1800,3.50,0.9881
1.40,300,242.12,2318.95,2154.98,1348.07,17.1253,1.1803,4.00,0.9897
1.40,350,242.56,2337.35,2172.04,1354.62,17.1883,1.1806,4.50,0.9864
1.40,400,242.94,2353.62,2187.09,1360.36,17.2454,1.1809,4.90,1.0068
1.40,450,243.27,2368.22,2200.56,1365.47,17.2976,1.1811,5.40,0.9968
1.40,500,243.57,2381.48,2212.77,1370.09,17.3458,1.1814,5.80,1.0086
1.40,550,243.84,2393.64,2223.95,1374.31,17.3907,1.1816,6.30,0.9964
1.40,600,244.09,2404.88,2234.27,1378.18,17.4327,1.1817,6.70,1.0035
1.40,650,244.31,2415.33,2243.85,1381.77,17.4723,1.1819,7.10,1.0086
1.40,700,244.52,2425.10,2252.80,1385.11,17.5097,1.1821,7.60,0.9953
1.40,750,244.72,2434.27,2261.20,1388.24,17.5452,1.1822,8.00,0.9984
1.40,800,244.90,2442.93,2269.11,1391.18,17.5789,1.1823,8.40,1.0005
1.40,850,245.07,2451.13,2276.60,1393.96,17.6112,1.1825,8.80,1.0017
1.40,900,245.23,2458.91,2283.71,1396.59,17.6420,1.1826,9.20,1.0021
1.40,950,245.38,2466.32,2290.47,1399.09,17.6716,1.1827,9.60,1.0021
1.40,1000,245.53,2473.39,2296.92,1401.47,17.7000,1.1828,10.00,1.0015
1.50,100,240.76,2257.56,2080.18,1318.67,17.0912,1.1911,1.80,1.0223
1.50,150,241.91,2296.30,2118.85,1334.57,17.2008,1.1903,2.40,0.9979
1.50,200,242.73,2325.82,2147.70,1346.19,17.2896,1.1900,2.90,1.0172
1.50,250,243.37,2349.85,2170.90,1355.39,17.3652,1.1898,3.50,0.9813
1.50,300,243.90,2370.22,2190.39,1363.04,17.4314,1.1898,3.90,1.0167
1.50,350,244.34,2388.37,2207.24,1369.60,17.4907,1.1898,4.40,1.0093
1.50,400,244.72,2404.51,2222.13,1375.34,17.5446,1.1899,4.90,1.0002
1.50,450,245.06,2419.06,2235.48,1380.47,17.5940,1.1899,5.40,0.9903
1.50,500,245.36,2432.32,2247.59,1385.09,17.6398,1.1900,5.80,1.0021
1.50,550,245.64,2444.50,2258.69,1389.31,17.6825,1.1900,6.30,0.9900
1.50,600,245.89,2455.79,2268.94,1393.19,17.7226,1.1901,6.70,0.9972
1.50,650,246.12,2466.31,2278.47,1396.78,17.7604,1.1901,7.10,1.0024
1.50,700,246.33,2476.17,2287.37,1400.13,17.7962,1.1902,7.50,1.0060
1.50,750,246.53,2485.44,2295.74,1403.26,17.8302,1.1903,8.00,0.9924
1.50,800,246.72,2494.20,2303.62,1406.21,17.8627,1.1903,8.40,0.9945
1.50,850,246.89,2502.50,2311.09,1408.99,17.8937,1.1904,8.80,0.9957
1.50,900,247.05,2510.40,2318.18,1411.62,17.9233,1.1904,9.20,0.9963
1.50,950,247.21,2517.93,2324.92,1414.12,17.9519,1.1905,9.60,0.9962
1.50,1000,247.35,2525.12,2331.37,1416.51,17.9793,1.1905,10.00,0.9958
1.60,100,242.52,2371.13,2126.93,1331.33,17.3397,1.2380,1.80,1.0120
1.60,150,243.65,2396.78,2162.24,1347.46,17.4432,1.2315,2.40,0.9894
1.60,200,244.46,2419.04,2189.42,1359.18,17.5248,1.2280,2.90,1.0091
1.60,250,245.10,2438.47,2211.67,1368.45,17.5929,1.2258,3.40,1.0128
1.60,300,245.62,2455.66,2230.57,1376.14,17.6514,1.2243,3.90,1.0091
1.60,350,246.07,2471.07,2247.05,1382.72,17.7031,1.2232,4.40,1.0018
1.60,400,246.46,2485.04,2261.70,1388.48,17.7493,1.2223,4.90,0.9928
1.60,450,246.80,2497.82,2274.89,1393.62,17.7914,1.2217,5.30,1.0072
1.60,500,247.10,2509.62,2286.91,1398.25,17.8299,1.2211,5.80,0.9948
1.60,550,247.38,2520.57,2297.96,1402.47,17.8656,1.2207,6.20,1.0033
1.60,600,247.64,2530.80,2308.19,1406.35,17.8988,1.2203,6.60,1.0092
1.60,650,247.87,2540.39,2317.72,1409.94,17.9299,1.2200,7.10,0.9951
1.60,700,248.09,2549.44,2326.65,1413.28,17.9591,1.2197,7.50,0.9986
1.60,750,248.29,2558.00,2335.05,1416.41,17.9868,1.2195,7.90,1.0009
1.60,800,248.48,2566.12,2342.99,1419.35,18.0130,1.2193,8.30,1.0022
1.60,850,248.65,2573.85,2350.51,1422.13,18.0380,1.2191,8.70,1.0027
1.60,900,248.82,2581.23,2357.66,1424.76,18.0618,1.2189,9.10,1.0026
1.60,950,248.98,2588.29,2364.48,1427.25,18.0846,1.2188,9.50,1.0019
1.60,1000,249.13,2595.06,2370.99,1429.63,18.1064,1.2187,9.90,1.0009
1.70,100,244.72,2557.45,2233.67,1339.56,17.4885,1.2851,1.80,0.9734
1.70,150,245.73,2563.64,2255.27,1356.39,17.5449,1.2706,2.30,1.0212
1.70,200,246.47,2571.08,2274.38,1368.53,17.5977,1.2613,2.90,0.9840
1.70,250,247.07,2579.18,2291.25,1378.07,17.6460,1.2551,3.40,0.9901
1.70,300,247.56,2587.57,2306.29,1385.94,17.6901,1.2506,3.90,0.9882
1.70,350,247.99,2595.98,2319.84,1392.67,17.7305,1.2473,4.30,1.0124
1.70,400,248.36,2604.28,2332.17,1398.54,17.7679,1.2447,4.80,1.0009
1.70,450,248.69,2612.39,2343.49,1403.77,17.8026,1.2426,5.30,0.9891
1.70,500,248.98,2620.26,2353.95,1408.47,17.8349,1.2409,5.70,0.9996
1.70,550,249.25,2627.87,2363.68,1412.75,17.8653,1.2395,6.10,1.0070
1.70,600,249.50,2635.22,2372.78,1416.69,17.8939,1.2383,6.60,0.9925
1.70,650,249.73,2642.31,2381.34,1420.32,17.9209,1.2373,7.00,0.9968
1.70,700,249.94,2649.16,2389.40,1423.71,17.9466,1.2364,7.40,0.9996
1.70,750,250.14,2655.76,2397.04,1426.87,17.9710,1.2356,7.80,1.0013
1.70,800,250.33,2662.14,2404.29,1429.85,17.9944,1.2349,8.20,1.0020
1.70,850,250.50,2668.31,2411.20,1432.65,18.0167,1.2343,8.60,1.0020
1.70,900,250.67,2674.27,2417.79,1435.30,18.0381,1.2338,9.00,1.0014
1.70,950,250.82,2680.05,2424.11,1437.82,18.0586,1.2333,9.40,1.0003
1.70,1000,250.97,2685.64,2430.16,1440.22,18.0784,1.2328,9.80,0.9988
1.80,100,247.37,2764.03,2394.41,1343.81,17.8040,1.3097,1.70,1.0009
1.80,150,248.21,2765.06,2399.95,1361.48,17.8175,1.3041,2.30,0.9714
1.80,200,248.85,2766.44,2406.55,1374.25,17.8340,1.2981,2.80,0.9905
1.80,250,249.36,2768.14,2413.73,1384.26,17.8526,1.2923,3.30,0.9938
1.80,300,249.79,2770.12,2421.13,1392.51,17.8722,1.2869,3.80,0.9897
1.80,350,250.16,2772.36,2428.55,1399.54,17.8923,1.2822,4.20,1.0131
1.80,400,250.49,2774.82,2435.85,1405.66,17.9126,1.2780,4.70,1.0002
1.80,450,250.79,2777.47,2442.98,1411.09,17.9328,1.2744,5.10,1.0124
1.80,500,251.06,2780.28,2449.90,1415.96,17.9528,1.2712,5.60,0.9972
1.80,550,251.30,2783.22,2456.60,1420.39,17.9723,1.2683,6.00,1.0041
1.80,600,251.53,2786.26,2463.08,1424.45,17.9915,1.2659,6.40,1.0086
1.80,650,251.74,2789.39,2469.33,1428.20,18.0102,1.2637,6.90,0.9927
1.80,700,251.94,2792.57,2475.36,1431.68,18.0284,1.2617,7.30,0.9952
1.80,750,252.12,2795.81,2481.19,1434.93,18.0461,1.2600,7.70,0.9965
1.80,800,252.29,2799.08,2486.82,1437.98,18.0634,1.2584,8.10,0.9969
1.80,850,252.46,2802.36,2492.27,1440.85,18.0803,1.2570,8.50,0.9966
1.80,900,252.61,2805.66,2497.54,1443.57,18.0967,1.2558,8.90,0.9957
1.80,950,252.76,2808.96,2502.64,1446.15,18.1126,1.2546,9.30,0.9944
1.80,1000,252.90,2812.25,2507.59,1448.60,18.1282,1.2535,9.60,1.0057
1.90,100,250.23,2963.03,2570.75,1345.75,18.1672,1.3074,1.70,0.9652
1.90,150,250.96,2963.31,2571.72,1363.90,18.1698,1.3066,2.20,0.9786
1.90,200,251.50,2963.64,2573.02,1377.06,18.1734,1.3055,2.70,0.9866
1.90,250,251.94,2964.04,2574.62,1387.43,18.1777,1.3041,3.20,0.9860
1.90,300,252.30,2964.51,2576.49,1395.99,18.1827,1.3026,3.60,1.0159
1.90,350,252.62,2965.04,2578.60,1403.30,18.1884,1.3009,4.10,1.0019
1.90,400,252.90,2965.64,2580.91,1409.68,18.1946,1.2992,4.60,0.9880
1.90,450,253.16,2966.30,2583.38,1415.34,18.2014,1.2973,5.00,0.9999
1.90,500,253.39,2967.03,2585.99,1420.43,18.2085,1.2955,5.40,1.0078
1.90,550,253.60,2967.81,2588.70,1425.05,18.2161,1.2936,5.90,0.9910
1.90,600,253.80,2968.65,2591.51,1429.28,18.2239,1.2918,6.30,0.9955
1.90,650,253.98,2969.55,2594.38,1433.19,18.2320,1.2899,6.70,0.9982
1.90,700,254.15,2970.49,2597.30,1436.82,18.2403,1.2882,7.10,0.9996
1.90,750,254.31,2971.49,2600.25,1440.21,18.2488,1.2865,7.50,1.0000
1.90,800,254.47,2972.54,2603.23,1443.39,18.2574,1.2848,7.90,0.9996
1.90,850,254.61,2973.63,2606.21,1446.38,18.2661,1.2833,8.30,0.9985
1.90,900,254.75,2974.76,2609.20,1449.21,18.2749,1.2818,8.70,0.9970
1.90,950,254.88,2975.93,2612.18,1451.89,18.2837,1.2803,9.10,0.9951
1.90,1000,255.01,2977.13,2615.15,1454.43,18.2925,1.2789,9.40,1.0061
2.00,100,253.17,3151.99,2741.81,1346.33,18.5281,1.3016,1.70,0.9530
2.00,150,253.79,3152.18,2742.03,1364.82,18.5289,1.3015,2.10,1.0169
2.00,200,254.26,3152.35,2742.33,1378.24,18.5299,1.3013,2.60,0.9936
2.00,250,254.64,3152.52,2742.69,1388.83,18.5310,1.3011,3.00,1.0208
2.00,300,254.96,3152.69,2743.13,1397.58,18.5324,1.3008,3.50,1.0034
2.00,350,255.24,3152.87,2743.63,1405.07,18.5339,1.3005,4.00,0.9870
