O/F,Pc_psia,Isp_s,Tc_R,Tt_R,Te_R,MW_lbm_lbmol,Gamma,Optimal_Eps,Pe_to_Pamb
3.30,800,287.98,5110.83,4610.45,1465.93,23.3949,1.2279,6.90,0.9902
3.30,850,287.99,5112.98,4611.16,1466.91,23.3960,1.2283,7.20,0.9912
3.30,900,287.99,5114.96,4611.82,1467.92,23.3970,1.2286,7.50,0.9913
3.30,950,287.99,5116.80,4612.43,1468.93,23.3979,1.2289,7.70,1.0086
3.30,1000,288.00,5118.50,4612.99,1469.96,23.3987,1.2292,8.00,1.0067
3.40,100,289.49,5071.43,4649.80,1498.61,23.5645,1.2019,1.70,1.0353
3.40,150,289.54,5101.82,4663.35,1496.94,23.5833,1.2070,2.20,1.0127
3.40,200,289.57,5121.58,4671.76,1495.98,23.5951,1.2103,2.70,0.9793
3.40,250,289.59,5135.89,4677.64,1495.38,23.6034,1.2128,3.10,0.9918
3.40,300,289.61,5146.93,4682.06,1495.02,23.6097,1.2147,3.50,0.9924
3.40,350,289.62,5155.80,4685.54,1494.81,23.6146,1.2162,3.90,0.9868
3.40,400,289.63,5163.16,4688.38,1494.71,23.6187,1.2174,4.20,1.0118
3.40,450,289.64,5169.40,4690.75,1494.72,23.6221,1.2185,4.60,0.9975
3.40,500,289.65,5174.79,4692.77,1494.79,23.6250,1.2194,4.90,1.0118
3.40,550,289.65,5179.51,4694.52,1494.94,23.6275,1.2202,5.30,0.9946
3.40,600,289.66,5183.68,4696.05,1495.14,23.6297,1.2209,5.60,1.0030
3.40,650,289.67,5187.42,4697.41,1495.39,23.6317,1.2216,5.90,1.0090
3.40,700,289.67,5190.79,4698.63,1495.68,23.6335,1.2222,6.30,0.9903
3.40,750,289.68,5193.85,4699.73,1496.01,23.6351,1.2227,6.60,0.9937
3.40,800,289.68,5196.65,4700.73,1496.38,23.6365,1.2232,6.90,0.9957
3.40,850,289.68,5199.22,4701.64,1496.77,23.6379,1.2236,7.20,0.9967
3.40,900,289.69,5201.59,4702.47,1497.20,23.6391,1.2240,7.50,0.9967
3.40,950,289.69,5203.79,4703.24,1497.64,23.6402,1.2244,7.80,0.9961
3.40,1000,289.69,5205.84,4703.96,1498.11,23.6413,1.2247,8.10,0.9948
3.50,100,291.05,5132.30,4723.86,1536.89,23.7824,1.1948,1.70,1.0417
3.50,150,291.11,5166.62,4740.31,1534.75,23.8050,1.2002,2.20,1.0189
3.50,200,291.15,5189.14,4750.59,1533.45,23.8192,1.2039,2.70,0.9853
3.50,250,291.18,5205.53,4757.81,1532.56,23.8293,1.2065,3.10,0.9976
3.50,300,291.20,5218.24,4763.27,1531.92,23.8370,1.2086,3.50,0.9982
3.50,350,291.21,5228.51,4767.57,1531.45,23.8430,1.2103,3.90,0.9926
3.50,400,291.23,5237.04,4771.09,1531.09,23.8480,1.2117,4.30,0.9835
3.50,450,291.24,5244.31,4774.04,1530.82,23.8522,1.2129,4.60,1.0033
3.50,500,291.25,5250.59,4776.55,1530.62,23.8558,1.2140,5.00,0.9886
3.50,550,291.25,5256.10,4778.73,1530.47,23.8589,1.2149,5.30,1.0003
3.50,600,291.26,5260.99,4780.64,1530.37,23.8616,1.2157,5.60,1.0088
3.50,650,291.27,5265.38,4782.34,1530.32,23.8641,1.2164,6.00,0.9909
3.50,700,291.27,5269.34,4783.86,1530.29,23.8662,1.2171,6.30,0.9959
3.50,750,291.28,5272.94,4785.24,1530.30,23.8682,1.2177,6.60,0.9993
3.50,800,291.28,5276.24,4786.48,1530.34,23.8700,1.2182,6.90,1.0013
3.50,850,291.29,5279.27,4787.62,1530.40,23.8717,1.2187,7.20,1.0022
3.50,900,291.29,5282.07,4788.67,1530.48,23.8732,1.2192,7.50,1.0023
3.50,950,291.30,5284.68,4789.64,1530.59,23.8746,1.2196,7.80,1.0016
3.50,1000,291.30,5287.10,4790.53,1530.71,23.8759,1.2200,8.10,1.0004
3.60,100,292.52,5186.34,4791.73,1575.19,23.9902,1.1877,1.80,0.9521
3.60,150,292.59,5224.56,4811.37,1572.57,24.0169,1.1934,2.20,1.0256
3.60,200,292.64,5249.85,4823.74,1570.94,24.0339,1.1972,2.70,0.9916
3.60,250,292.67,5268.38,4832.50,1569.80,24.0460,1.2001,3.10,1.0039
3.60,300,292.69,5282.81,4839.13,1568.95,24.0552,1.2024,3.50,1.0044
3.60,350,292.71,5294.52,4844.38,1568.29,24.0625,1.2042,3.90,0.9986
3.60,400,292.73,5304.29,4848.68,1567.76,24.0685,1.2058,4.30,0.9894
3.60,450,292.74,5312.62,4852.29,1567.33,24.0736,1.2071,4.60,1.0092
3.60,500,292.75,5319.85,4855.38,1566.97,24.0779,1.2082,5.00,0.9945
3.60,550,292.76,5326.21,4858.06,1566.67,24.0817,1.2093,5.30,1.0062
3.60,600,292.77,5331.86,4860.42,1566.41,24.0850,1.2102,5.70,0.9895
3.60,650,292.78,5336.94,4862.51,1566.20,24.0880,1.2110,6.00,0.9967
3.60,700,292.78,5341.53,4864.39,1566.02,24.0907,1.2117,6.30,1.0017
3.60,750,292.79,5345.72,4866.08,1565.87,24.0931,1.2124,6.60,1.0051
3.60,800,292.80,5349.55,4867.63,1565.74,24.0953,1.2130,6.90,1.0071
3.60,850,292.80,5353.09,4869.04,1565.64,24.0973,1.2136,7.20,1.0080
3.60,900,292.81,5356.36,4870.33,1565.56,24.0992,1.2141,7.50,1.0080
3.60,950,292.81,5359.40,4871.53,1565.49,24.1009,1.2146,7.80,1.0074
3.60,1000,292.81,5362.23,4872.64,1565.44,24.1025,1.2151,8.10,1.0061
3.70,100,293.89,5233.90,4853.29,1613.57,24.1879,1.1806,1.80,0.9591
3.70,150,293.98,5275.91,4876.38,1610.42,24.2190,1.1865,2.20,1.0329
3.70,200,294.03,5303.92,4891.06,1608.43,24.2389,1.1905,2.70,0.9984
3.70,250,294.07,5324.58,4901.51,1607.04,24.2532,1.1936,3.10,1.0106
3.70,300,294.10,5340.76,4909.46,1605.98,24.2641,1.1960,3.50,1.0109
3.70,350,294.12,5353.93,4915.79,1605.15,24.2728,1.1979,3.90,1.0050
3.70,400,294.14,5364.96,4920.98,1604.47,24.2800,1.1996,4.30,0.9957
3.70,450,294.15,5374.39,4925.35,1603.90,24.2861,1.2010,4.70,0.9847
3.70,500,294.17,5382.60,4929.10,1603.42,24.2913,1.2023,5.00,1.0006
3.70,550,294.18,5389.84,4932.35,1603.01,24.2958,1.2034,5.30,1.0124
3.70,600,294.19,5396.29,4935.22,1602.65,24.2999,1.2044,5.70,0.9956
3.70,650,294.20,5402.09,4937.77,1602.34,24.3034,1.2053,6.00,1.0027
3.70,700,294.21,5407.35,4940.06,1602.06,24.3067,1.2061,6.30,1.0077
3.70,750,294.22,5412.15,4942.14,1601.81,24.3096,1.2069,6.70,0.9900
3.70,800,294.22,5416.56,4944.02,1601.59,24.3122,1.2076,7.00,0.9929
3.70,850,294.23,5420.63,4945.75,1601.40,24.3147,1.2082,7.30,0.9947
3.70,900,294.23,5424.39,4947.33,1601.22,24.3169,1.2088,7.60,0.9955
3.70,950,294.24,5427.90,4948.80,1601.06,24.3190,1.2093,7.90,0.9955
3.70,1000,294.24,5431.17,4950.16,1600.92,24.3209,1.2098,8.20,0.9949
3.80,100,295.18,5275.39,4908.52,1652.10,24.3754,1.1739,1.80,0.9665
3.80,150,295.28,5320.99,4935.23,1648.36,24.4110,1.1797,2.30,0.9702
3.80,200,295.34,5351.64,4952.39,1645.99,24.4341,1.1838,2.70,1.0057
3.80,250,295.39,5374.39,4964.69,1644.30,24.4508,1.1870,3.10,1.0178
3.80,300,295.42,5392.27,4974.09,1643.03,24.4636,1.1895,3.50,1.0179
3.80,350,295.45,5406.90,4981.61,1642.01,24.4738,1.1916,3.90,1.0118
3.80,400,295.47,5419.19,4987.80,1641.18,24.4823,1.1933,4.30,1.0024
3.80,450,295.49,5429.74,4993.02,1640.48,24.4895,1.1948,4.70,0.9912
3.80,500,295.50,5438.94,4997.50,1639.89,24.4957,1.1962,5.00,1.0071
3.80,550,295.52,5447.08,5001.41,1639.37,24.5011,1.1974,5.40,0.9922
3.80,600,295.53,5454.34,5004.86,1638.91,24.5058,1.1985,5.70,1.0020
3.80,650,295.54,5460.89,5007.94,1638.51,24.5101,1.1994,6.00,1.0091
3.80,700,295.55,5466.84,5010.70,1638.15,24.5140,1.2003,6.40,0.9919
3.80,750,295.56,5472.27,5013.20,1637.83,24.5174,1.2011,6.70,0.9962
3.80,800,295.57,5477.27,5015.48,1637.53,24.5206,1.2019,7.00,0.9991
3.80,850,295.57,5481.89,5017.57,1637.27,24.5235,1.2026,7.30,1.0008
3.80,900,295.58,5486.18,5019.50,1637.02,24.5262,1.2032,7.60,1.0016
3.80,950,295.59,5490.17,5021.28,1636.80,24.5287,1.2038,7.90,1.0016
3.80,1000,295.59,5493.91,5022.93,1636.60,24.5310,1.2044,8.20,1.0009
3.90,100,296.38,5311.28,4957.49,1690.85,24.5528,1.1675,1.80,0.9745
3.90,150,296.50,5360.23,4987.90,1686.46,24.5931,1.1732,2.30,0.9782
3.90,200,296.57,5393.37,5007.64,1683.66,24.6195,1.1773,2.70,1.0137
3.90,250,296.62,5418.09,5021.89,1681.66,24.6386,1.1805,3.20,0.9781
3.90,300,296.66,5437.64,5032.86,1680.14,24.6534,1.1830,3.60,0.9838
3.90,350,296.69,5453.67,5041.66,1678.93,24.6653,1.1852,4.00,0.9823
3.90,400,296.72,5467.20,5048.94,1677.93,24.6752,1.1870,4.30,1.0095
3.90,450,296.74,5478.85,5055.10,1677.09,24.6836,1.1886,4.70,0.9981
3.90,500,296.76,5489.03,5060.40,1676.36,24.6908,1.1900,5.00,1.0141
3.90,550,296.78,5498.06,5065.04,1675.73,24.6972,1.1912,5.40,0.9990
3.90,600,296.79,5506.14,5069.14,1675.18,24.7028,1.1924,5.70,1.0087
3.90,650,296.80,5513.43,5072.80,1674.69,24.7078,1.1934,6.10,0.9924
3.90,700,296.81,5520.07,5076.09,1674.24,24.7124,1.1943,6.40,0.9985
3.90,750,296.83,5526.16,5079.08,1673.84,24.7165,1.1952,6.70,1.0027
3.90,800,296.83,5531.76,5081.81,1673.48,24.7202,1.1960,7.00,1.0056
3.90,850,296.84,5536.94,5084.31,1673.15,24.7237,1.1967,7.30,1.0073
3.90,900,296.85,5541.75,5086.61,1672.84,24.7269,1.1974,7.60,1.0080
3.90,950,296.86,5546.25,5088.75,1672.56,24.7299,1.1981,7.90,1.0080
3.90,1000,296.87,5550.46,5090.74,1672.30,24.7326,1.1987,8.20,1.0073
4.00,100,297.51,5342.08,5000.38,1729.87,24.7204,1.1617,1.80,0.9828
4.00,150,297.64,5394.07,5034.46,1724.78,24.7653,1.1672,2.30,0.9868
4.00,200,297.72,5429.51,5056.81,1721.52,24.7950,1.1711,2.70,1.0223
4.00,250,297.78,5456.09,5073.07,1719.18,24.8167,1.1742,3.20,0.9861
4.00,300,297.83,5477.19,5085.67,1717.39,24.8335,1.1768,3.60,0.9917
4.00,350,297.86,5494.57,5095.82,1715.95,24.8472,1.1789,4.00,0.9899
4.00,400,297.89,5509.28,5104.26,1714.77,24.8585,1.1808,4.40,0.9840
4.00,450,297.92,5521.98,5111.42,1713.77,24.8682,1.1824,4.70,1.0056
4.00,500,297.94,5533.12,5117.61,1712.91,24.8766,1.1838,5.10,0.9931
4.00,550,297.96,5543.01,5123.03,1712.15,24.8839,1.1851,5.40,1.0062
4.00,600,297.98,5551.88,5127.84,1711.49,24.8905,1.1863,5.80,0.9913
4.00,650,297.99,5559.91,5132.14,1710.90,24.8963,1.1873,6.10,0.9995
4.00,700,298.01,5567.24,5136.02,1710.37,24.9016,1.1883,6.40,1.0055
4.00,750,298.02,5573.95,5139.54,1709.88,24.9064,1.1892,6.70,1.0097
4.00,800,298.03,5580.15,5142.77,1709.44,24.9109,1.1900,7.10,0.9927
4.00,850,298.04,5585.89,5145.73,1709.04,24.9149,1.1908,7.40,0.9951
4.00,900,298.05,5591.24,5148.46,1708.67,24.9187,1.1915,7.70,0.9966
4.00,950,298.06,5596.23,5150.99,1708.32,24.9222,1.1922,8.00,0.9972
4.00,1000,298.07,5600.91,5153.35,1708.00,24.9254,1.1929,8.30,0.9972
4.10,100,298.56,5368.30,5037.50,1769.23,24.8785,1.1564,1.80,0.9914
4.10,150,298.70,5423.02,5075.09,1763.39,24.9279,1.1616,2.30,0.9959
4.10,200,298.80,5460.53,5100.00,1759.63,24.9608,1.1654,2.80,0.9761
4.10,250,298.87,5488.81,5118.27,1756.91,24.9850,1.1684,3.20,0.9948
4.10,300,298.92,5511.34,5132.51,1754.83,25.0040,1.1709,3.60,1.0002
4.10,350,298.96,5529.97,5144.05,1753.15,25.0194,1.1729,4.00,0.9982
4.10,400,299.00,5545.78,5153.68,1751.76,25.0323,1.1748,4.40,0.9921
4.10,450,299.03,5559.47,5161.89,1750.59,25.0433,1.1764,4.70,1.0136
4.10,500,299.05,5571.51,5169.01,1749.57,25.0528,1.1778,5.10,1.0009
4.10,550,299.07,5582.22,5175.26,1748.69,25.0613,1.1791,5.50,0.9880
4.10,600,299.09,5591.85,5180.82,1747.90,25.0688,1.1803,5.80,0.9989
4.10,650,299.11,5600.59,5185.80,1747.20,25.0755,1.1813,6.10,1.0070
4.10,700,299.13,5608.57,5190.31,1746.57,25.0816,1.1823,6.50,0.9912
4.10,750,299.14,5615.90,5194.41,1745.99,25.0872,1.1832,6.80,0.9963
4.10,800,299.15,5622.67,5198.17,1745.47,25.0923,1.1841,7.10,0.9999
4.10,850,299.17,5628.96,5201.62,1744.99,25.0970,1.1849,7.40,1.0024
4.10,900,299.18,5634.82,5204.82,1744.54,25.1013,1.1856,7.70,1.0038
4.10,950,299.19,5640.30,5207.79,1744.13,25.1054,1.1863,8.00,1.0043
4.10,1000,299.20,5645.45,5210.56,1743.75,25.1091,1.1870,8.30,1.0042
4.20,100,299.54,5390.44,5069.25,1808.96,25.0276,1.1519,1.80,1.0001
4.20,150,299.70,5447.55,5110.10,1802.34,25.0812,1.1567,2.30,1.0055
4.20,200,299.81,5486.91,5137.44,1798.04,25.1172,1.1602,2.80,0.9855
4.20,250,299.88,5516.71,5157.66,1794.93,25.1439,1.1630,3.20,1.0041
4.20,300,299.94,5540.54,5173.50,1792.52,25.1649,1.1654,3.60,1.0094
4.20,350,299.99,5560.30,5186.42,1790.58,25.1820,1.1674,4.00,1.0071
4.20,400,300.03,5577.12,5197.24,1788.98,25.1965,1.1691,4.40,1.0007
4.20,450,300.06,5591.72,5206.50,1787.61,25.2088,1.1707,4.80,0.9920
4.20,500,300.09,5604.59,5214.56,1786.43,25.2196,1.1721,5.10,1.0094
4.20,550,300.12,5616.07,5221.66,1785.40,25.2291,1.1733,5.50,0.9962
4.20,600,300.14,5626.41,5227.99,1784.48,25.2376,1.1745,5.80,1.0070
4.20,650,300.16,5635.80,5233.68,1783.66,25.2452,1.1756,6.20,0.9922
4.20,700,300.18,5644.39,5238.84,1782.92,25.2522,1.1765,6.50,0.9991
4.20,750,300.20,5652.30,5243.55,1782.24,25.2585,1.1775,6.80,1.0042
4.20,800,300.21,5659.62,5247.87,1781.63,25.2643,1.1783,7.10,1.0077
4.20,850,300.23,5666.42,5251.85,1781.06,25.2697,1.1791,7.50,0.9914
4.20,900,300.24,5672.78,5255.54,1780.53,25.2747,1.1799,7.80,0.9935
4.20,950,300.25,5678.72,5258.97,1780.05,25.2793,1.1806,8.10,0.9947
4.20,1000,300.26,5684.32,5262.18,1779.60,25.2837,1.1812,8.40,0.9952
4.30,100,300.45,5408.97,5096.07,1849.12,25.1683,1.1479,1.80,1.0086
4.30,150,300.63,5468.15,5139.90,1841.67,25.2257,1.1523,2.30,1.0155
4.30,200,300.75,5509.13,5169.50,1836.81,25.2646,1.1556,2.80,0.9956
4.30,250,300.83,5540.27,5191.53,1833.27,25.2936,1.1583,3.20,1.0142
4.30,300,300.90,5565.25,5208.88,1830.53,25.3166,1.1605,3.60,1.0192
4.30,350,300.95,5586.02,5223.11,1828.32,25.3354,1.1623,4.00,1.0168
4.30,400,301.00,5603.75,5235.09,1826.47,25.3513,1.1640,4.40,1.0101
4.30,450,301.04,5619.17,5245.37,1824.91,25.3649,1.1655,4.80,1.0011
4.30,500,301.07,5632.78,5254.36,1823.55,25.3769,1.1668,5.20,0.9907
4.30,550,301.10,5644.95,5262.30,1822.35,25.3875,1.1680,5.50,1.0050
4.30,600,301.12,5655.94,5269.40,1821.29,25.3970,1.1691,5.90,0.9916
4.30,650,301.15,5665.93,5275.80,1820.34,25.4055,1.1701,6.20,1.0007
4.30,700,301.17,5675.09,5281.62,1819.48,25.4133,1.1711,6.50,1.0076
4.30,750,301.19,5683.53,5286.93,1818.70,25.4204,1.1720,6.90,0.9922
4.30,800,301.21,5691.35,5291.82,1817.98,25.4270,1.1728,7.20,0.9965
4.30,850,301.22,5698.64,5296.34,1817.32,25.4330,1.1736,7.50,0.9996
4.30,900,301.24,5705.44,5300.54,1816.71,25.4387,1.1743,7.80,1.0016
4.30,950,301.25,5711.83,5304.45,1816.14,25.4439,1.1750,8.10,1.0027
4.30,1000,301.26,5717.83,5308.10,1815.61,25.4488,1.1757,8.40,1.0031
4.40,100,301.29,5424.33,5118.50,1889.75,25.3010,1.1446,1.80,1.0168
4.40,150,301.49,5485.28,5164.94,1881.44,25.3619,1.1486,2.30,1.0257
4.40,200,301.62,5527.65,5196.55,1875.99,25.4034,1.1517,2.80,1.0061
4.40,250,301.72,5559.94,5220.23,1872.01,25.4346,1.1541,3.30,0.9792
4.40,300,301.79,5585.92,5239.00,1868.92,25.4593,1.1561,3.70,0.9892
4.40,350,301.85,5607.58,5254.45,1866.41,25.4798,1.1579,4.10,0.9910
4.40,400,301.90,5626.10,5267.50,1864.32,25.4970,1.1594,4.50,0.9877
4.40,450,301.95,5642.25,5278.76,1862.53,25.5120,1.1608,4.80,1.0108
4.40,500,301.98,5656.53,5288.62,1860.98,25.5250,1.1620,5.20,1.0002
4.40,550,302.02,5669.32,5297.36,1859.62,25.5367,1.1632,5.60,0.9890
4.40,600,302.05,5680.88,5305.20,1858.40,25.5471,1.1642,5.90,1.0009
4.40,650,302.07,5691.41,5312.28,1857.31,25.5565,1.1652,6.20,1.0099
4.40,700,302.10,5701.07,5318.74,1856.32,25.5651,1.1661,6.60,0.9953
4.40,750,302.12,5710.00,5324.65,1855.42,25.5730,1.1669,6.90,1.0011
4.40,800,302.14,5718.28,5330.10,1854.60,25.5803,1.1677,7.20,1.0054
4.40,850,302.16,5725.99,5335.15,1853.83,25.5871,1.1685,7.50,1.0084
4.40,900,302.17,5733.21,5339.85,1853.13,25.5933,1.1692,7.90,0.9927
4.40,950,302.19,5739.99,5344.23,1852.47,25.5992,1.1698,8.20,0.9944
4.40,1000,302.20,5746.38,5348.33,1851.86,25.6047,1.1705,8.50,0.9954
4.50,100,302.07,5436.90,5137.01,1930.88,25.4264,1.1418,1.80,1.0244
4.50,150,302.29,5499.35,5185.72,1921.70,25.4903,1.1455,2.40,0.9703
4.50,200,302.44,5542.90,5219.10,1915.64,25.5342,1.1483,2.80,1.0170
4.50,250,302.54,5576.18,5244.24,1911.20,25.5673,1.1505,3.30,0.9900
4.50,300,302.62,5603.02,5264.26,1907.73,25.5938,1.1524,3.70,1.0000
4.50,350,302.69,5625.44,5280.80,1904.92,25.6156,1.1540,4.10,1.0015
4.50,400,302.75,5644.65,5294.83,1902.56,25.6342,1.1554,4.50,0.9981
4.50,450,302.79,5661.42,5306.97,1900.55,25.6503,1.1567,4.90,0.9917
4.50,500,302.84,5676.28,5317.64,1898.80,25.6644,1.1579,5.20,1.0104
4.50,550,302.87,5689.60,5327.13,1897.25,25.6770,1.1589,5.60,0.9989
4.50,600,302.91,5701.67,5335.66,1895.88,25.6883,1.1599,5.90,1.0108
4.50,650,302.94,5712.67,5343.39,1894.64,25.6986,1.1608,6.30,0.9972
4.50,700,302.96,5722.79,5350.45,1893.51,25.7080,1.1616,6.60,1.0049
4.50,750,302.99,5732.13,5356.93,1892.49,25.7166,1.1624,7.00,0.9906
4.50,800,303.01,5740.81,5362.91,1891.55,25.7246,1.1632,7.30,0.9956
4.50,850,303.03,5748.91,5368.47,1890.68,25.7320,1.1639,7.60,0.9993
4.50,900,303.05,5756.50,5373.64,1889.87,25.7389,1.1645,7.90,1.0019
4.50,950,303.07,5763.63,5378.48,1889.12,25.7453,1.1652,8.20,1.0035
4.50,1000,303.08,5770.35,5383.01,1888.42,25.7514,1.1658,8.50,1.0044
4.60,100,302.79,5447.05,5152.10,1972.58,25.5450,1.1395,1.80,1.0311
4.60,150,303.03,5510.73,5202.73,1962.48,25.6116,1.1429,2.40,0.9800
4.60,200,303.19,5555.27,5237.61,1955.79,25.6576,1.1455,2.90,0.9756
4.60,250,303.31,5589.38,5264.01,1950.87,25.6924,1.1475,3.30,1.0012
4.60,300,303.40,5616.94,5285.12,1947.03,25.7203,1.1493,3.70,1.0114
4.60,350,303.47,5640.00,5302.62,1943.89,25.7435,1.1507,4.10,1.0128
4.60,400,303.53,5659.80,5317.52,1941.26,25.7632,1.1520,4.50,1.0092
4.60,450,303.58,5677.11,5330.44,1939.01,25.7803,1.1532,4.90,1.0025
