O/F, Pc (psia), Isp (s), Tc (R), Tt (R), Te (R), MW (lb/lbmol), gamma
3.60, 450, 292.74, 5312.62, 4852.29, 4852.29, 24.0736, 1.2071
3.60, 500, 292.75, 5319.85, 4855.38, 4855.38, 24.0779, 1.2082
3.60, 550, 292.76, 5326.21, 4858.06, 4858.06, 24.0817, 1.2093
3.60, 600, 292.77, 5331.86, 4860.42, 4860.42, 24.0850, 1.2102
3.60, 650, 292.78, 5336.94, 4862.51, 4862.51, 24.0880, 1.2110
3.60, 700, 292.78, 5341.53, 4864.39, 4864.39, 24.0907, 1.2117
3.60, 750, 292.79, 5345.72, 4866.08, 4866.08, 24.0931, 1.2124
3.60, 800, 292.80, 5349.55, 4867.63, 4867.63, 24.0953, 1.2130
3.60, 850, 292.80, 5353.09, 4869.04, 4869.04, 24.0973, 1.2136
3.60, 900, 292.81, 5356.36, 4870.33, 4870.33, 24.0992, 1.2141
3.60, 950, 292.81, 5359.40, 4871.53, 4871.53, 24.1009, 1.2146
3.60, 1000, 292.81, 5362.23, 4872.64, 4872.64, 24.1025, 1.2151
3.70, 100, 293.89, 5233.90, 4853.29, 4853.29, 24.1879, 1.1806
3.70, 150, 293.98, 5275.91, 4876.38, 4876.38, 24.2190, 1.1865
3.70, 200, 294.03, 5303.92, 4891.06, 4891.06, 24.2389, 1.1905
3.70, 250, 294.07, 5324.58, 4901.51, 4901.51, 24.2532, 1.1936
3.70, 300, 294.10, 5340.76, 4909.46, 4909.46, 24.2641, 1.1960
3.70, 350, 294.12, 5353.93, 4915.79, 4915.79, 24.2728, 1.1979
3.70, 400, 294.14, 5364.96, 4920.98, 4920.98, 24.2800, 1.1996
3.70, 450, 294.15, 5374.39, 4925.35, 4925.35, 24.2861, 1.2010
3.70, 500, 294.17, 5382.60, 4929.10, 4929.10, 24.2913, 1.2023
3.70, 550, 294.18, 5389.84, 4932.35, 4932.35, 24.2958, 1.2034
3.70, 600, 294.19, 5396.29, 4935.22, 4935.22, 24.2999, 1.2044
3.70, 650, 294.20, 5402.09, 4937.77, 4937.77, 24.3034, 1.2053
3.70, 700, 294.21, 5407.35, 4940.06, 4940.06, 24.3067, 1.2061
3.70, 750, 294.22, 5412.15, 4942.14, 4942.14, 24.3096, 1.2069
3.70, 800, 294.22, 5416.56, 4944.02, 4944.02, 24.3122, 1.2076
3.70, 850, 294.23, 5420.63, 4945.75, 4945.75, 24.3147, 1.2082
3.70, 900, 294.23, 5424.39, 4947.33, 4947.33, 24.3169, 1.2088
3.70, 950, 294.24, 5427.90, 4948.80, 4948.80, 24.3190, 1.2093
3.70, 1000, 294.24, 5431.17, 4950.16, 4950.16, 24.3209, 1.2098
3.80, 100, 295.18, 5275.39, 4908.52, 4908.52, 24.3754, 1.1739
3.80, 150, 295.28, 5320.99, 4935.23, 4935.23, 24.4110, 1.1797
3.80, 200, 295.34, 5351.64, 4952.39, 4952.39, 24.4341, 1.1838
3.80, 250, 295.39, 5374.39, 4964.69, 4964.69, 24.4508, 1.1870
3.80, 300, 295.42, 5392.27, 4974.09, 4974.09, 24.4636, 1.1895
3.80, 350, 295.45, 5406.90, 4981.61, 4981.61, 24.4738, 1.1916
3.80, 400, 295.47, 5419.19, 4987.80, 4987.80, 24.4823, 1.1933
3.80, 450, 295.49, 5429.74, 4993.02, 4993.02, 24.4895, 1.1948
3.80, 500, 295.50, 5438.94, 4997.50, 4997.50, 24.4957, 1.1962
3.80, 550, 295.52, 5447.08, 5001.41, 5001.41, 24.5011, 1.1974
3.80, 600, 295.53, 5454.34, 5004.86, 5004.86, 24.5058, 1.1985
3.80, 650, 295.54, 5460.89, 5007.94, 5007.94, 24.5101, 1.1994
3.80, 700, 295.55, 5466.84, 5010.70, 5010.70, 24.5140, 1.2003
3.80, 750, 295.56, 5472.27, 5013.20, 5013.20, 24.5174, 1.2011
3.80, 800, 295.57, 5477.27, 5015.48, 5015.48, 24.5206, 1.2019
3.80, 850, 295.57, 5481.89, 5017.57, 5017.57, 24.5235, 1.2026
3.80, 900, 295.58, 5486.18, 5019.50, 5019.50, 24.5262, 1.2032
3.80, 950, 295.59, 5490.17, 5021.28, 5021.28, 24.5287, 1.2038
3.80, 1000, 295.59, 5493.91, 5022.93, 5022.93, 24.5310, 1.2044
3.90, 100, 296.38, 5311.28, 4957.49, 4957.49, 24.5528, 1.1675
3.90, 150, 296.50, 5360.23, 4987.90, 4987.90, 24.5931, 1.1732
3.90, 200, 296.57, 5393.37, 5007.64, 5007.64, 24.6195, 1.1773
3.90, 250, 296.62, 5418.09, 5021.89, 5021.89, 24.6386, 1.1805
3.90, 300, 296.66, 5437.64, 5032.86, 5032.86, 24.6534, 1.1830
3.90, 350, 296.69, 5453.67, 5041.66, 5041.66, 24.6653, 1.1852
3.90, 400, 296.72, 5467.20, 5048.94, 5048.94, 24.6752, 1.1870
3.90, 450, 296.74, 5478.85, 5055.10, 5055.10, 24.6836, 1.1886
3.90, 500, 296.76, 5489.03, 5060.40, 5060.40, 24.6908, 1.1900
3.90, 550, 296.78, 5498.06, 5065.04, 5065.04, 24.6972, 1.1912
3.90, 600, 296.79, 5506.14, 5069.14, 5069.14, 24.7028, 1.1924
3.90, 650, 296.80, 5513.43, 5072.80, 5072.80, 24.7078, 1.1934
3.90, 700, 296.81, 5520.07, 5076.09, 5076.09, 24.7124, 1.1943
3.90, 750, 296.83, 5526.16, 5079.08, 5079.08, 24.7165, 1.1952
3.90, 800, 296.83, 5531.76, 5081.81, 5081.81, 24.7202, 1.1960
3.90, 850, 296.84, 5536.94, 5084.31, 5084.31, 24.7237, 1.1967
3.90, 900, 296.85, 5541.75, 5086.61, 5086.61, 24.7269, 1.1974
3.90, 950, 296.86, 5546.25, 5088.75, 5088.75, 24.7299, 1.1981
3.90, 1000, 296.87, 5550.46, 5090.74, 5090.74, 24.7326, 1.1987
4.00, 100, 297.51, 5342.08, 5000.38, 5000.38, 24.7204, 1.1617
4.00, 150, 297.64, 5394.07, 5034.46, 5034.46, 24.7653, 1.1672
4.00, 200, 297.72, 5429.51, 5056.81, 5056.81, 24.7950, 1.1711
4.00, 250, 297.78, 5456.09, 5073.07, 5073.07, 24.8167, 1.1742
4.00, 300, 297.83, 5477.19, 5085.67, 5085.67, 24.8335, 1.1768
4.00, 350, 297.86, 5494.57, 5095.82, 5095.82, 24.8472, 1.1789
4.00, 400, 297.89, 5509.28, 5104.26, 5104.26, 24.8585, 1.1808
4.00, 450, 297.92, 5521.98, 5111.42, 5111.42, 24.8682, 1.1824
4.00, 500, 297.94, 5533.12, 5117.61, 5117.61, 24.8766, 1.1838
4.00, 550, 297.96, 5543.01, 5123.03, 5123.03, 24.8839, 1.1851
4.00, 600, 297.98, 5551.88, 5127.84, 5127.84, 24.8905, 1.1863
4.00, 650, 297.99, 5559.91, 5132.14, 5132.14, 24.8963, 1.1873
4.00, 700, 298.01, 5567.24, 5136.02, 5136.02, 24.9016, 1.1883
4.00, 750, 298.02, 5573.95, 5139.54, 5139.54, 24.9064, 1.1892
4.00, 800, 298.03, 5580.15, 5142.77, 5142.77, 24.9109, 1.1900
4.00, 850, 298.04, 5585.89, 5145.73, 5145.73, 24.9149, 1.1908
4.00, 900, 298.05, 5591.24, 5148.46, 5148.46, 24.9187, 1.1915
4.00, 950, 298.06, 5596.23, 5150.99, 5150.99, 24.9222, 1.1922
4.00, 1000, 298.07, 5600.91, 5153.35, 5153.35, 24.9254, 1.1929
4.10, 100, 298.56, 5368.30, 5037.50, 5037.50, 24.8785, 1.1564
4.10, 150, 298.70, 5423.02, 5075.09, 5075.09, 24.9279, 1.1616
4.10, 200, 298.80, 5460.53, 5100.00, 5100.00, 24.9608, 1.1654
4.10, 250, 298.87, 5488.81, 5118.27, 5118.27, 24.9850, 1.1684
4.10, 300, 298.92, 5511.34, 5132.51, 5132.51, 25.0040, 1.1709
4.10, 350, 298.96, 5529.97, 5144.05, 5144.05, 25.0194, 1.1729
4.10, 400, 299.00, 5545.78, 5153.68, 5153.68, 25.0323, 1.1748
4.10, 450, 299.03, 5559.47, 5161.89, 5161.89, 25.0433, 1.1764
4.10, 500, 299.05, 5571.51, 5169.01, 5169.01, 25.0528, 1.1778
4.10, 550, 299.07, 5582.22, 5175.26, 5175.26, 25.0613, 1.1791
4.10, 600, 299.09, 5591.85, 5180.82, 5180.82, 25.0688, 1.1803
4.10, 650, 299.11, 5600.59, 5185.80, 5185.80, 25.0755, 1.1813
4.10, 700, 299.13, 5608.57, 5190.31, 5190.31, 25.0816, 1.1823
4.10, 750, 299.14, 5615.90, 5194.41, 5194.41, 25.0872, 1.1832
4.10, 800, 299.15, 5622.67, 5198.17, 5198.17, 25.0923, 1.1841
4.10, 850, 299.17, 5628.96, 5201.62, 5201.62, 25.0970, 1.1849
4.10, 900, 299.18, 5634.82, 5204.82, 5204.82, 25.1013, 1.1856
4.10, 950, 299.19, 5640.30, 5207.79, 5207.79, 25.1054, 1.1863
4.10, 1000, 299.20, 5645.45, 5210.56, 5210.56, 25.1091, 1.1870
4.20, 100, 299.54, 5390.44, 5069.25, 5069.25, 25.0276, 1.1519
4.20, 150, 299.70, 5447.55, 5110.10, 5110.10, 25.0812, 1.1567
4.20, 200, 299.81, 5486.91, 5137.44, 5137.44, 25.1172, 1.1602
4.20, 250, 299.88, 5516.71, 5157.66, 5157.66, 25.1439, 1.1630
4.20, 300, 299.94, 5540.54, 5173.50, 5173.50, 25.1649, 1.1654
4.20, 350, 299.99, 5560.30, 5186.42, 5186.42, 25.1820, 1.1674
4.20, 400, 300.03, 5577.12, 5197.24, 5197.24, 25.1965, 1.1691
4.20, 450, 300.06, 5591.72, 5206.50, 5206.50, 25.2088, 1.1707
4.20, 500, 300.09, 5604.59, 5214.56, 5214.56, 25.2196, 1.1721
4.20, 550, 300.12, 5616.07, 5221.66, 5221.66, 25.2291, 1.1733
4.20, 600, 300.14, 5626.41, 5227.99, 5227.99, 25.2376, 1.1745
4.20, 650, 300.16, 5635.80, 5233.68, 5233.68, 25.2452, 1.1756
4.20, 700, 300.18, 5644.39, 5238.84, 5238.84, 25.2522, 1.1765
4.20, 750, 300.20, 5652.30, 5243.55, 5243.55, 25.2585, 1.1775
4.20, 800, 300.21, 5659.62, 5247.87, 5247.87, 25.2643, 1.1783
4.20, 850, 300.23, 5666.42, 5251.85, 5251.85, 25.2697, 1.1791
4.20, 900, 300.24, 5672.78, 5255.54, 5255.54, 25.2747, 1.1799
4.20, 950, 300.25, 5678.72, 5258.97, 5258.97, 25.2793, 1.1806
4.20, 1000, 300.26, 5684.32, 5262.18, 5262.18, 25.2837, 1.1812
4.30, 100, 300.45, 5408.97, 5096.07, 5096.07, 25.1683, 1.1479
4.30, 150, 300.63, 5468.15, 5139.90, 5139.90, 25.2257, 1.1523
4.30, 200, 300.75, 5509.13, 5169.50, 5169.50, 25.2646, 1.1556
4.30, 250, 300.83, 5540.27, 5191.53, 5191.53, 25.2936, 1.1583
4.30, 300, 300.90, 5565.25, 5208.88, 5208.88, 25.3166, 1.1605
4.30, 350, 300.95, 5586.02, 5223.11, 5223.11, 25.3354, 1.1623
4.30, 400, 301.00, 5603.75, 5235.09, 5235.09, 25.3513, 1.1640
4.30, 450, 301.04, 5619.17, 5245.37, 5245.37, 25.3649, 1.1655
4.30, 500, 301.07, 5632.78, 5254.36, 5254.36, 25.3769, 1.1668
4.30, 550, 301.10, 5644.95, 5262.30, 5262.30, 25.3875, 1.1680
4.30, 600, 301.12, 5655.94, 5269.40, 5269.40, 25.3970, 1.1691
4.30, 650, 301.15, 5665.93, 5275.80, 5275.80, 25.4055, 1.1701
4.30, 700, 301.17, 5675.09, 5281.62, 5281.62, 25.4133, 1.1711
4.30, 750, 301.19, 5683.53, 5286.93, 5286.93, 25.4204, 1.1720
4.30, 800, 301.21, 5691.35, 5291.82, 5291.82, 25.4270, 1.1728
4.30, 850, 301.22, 5698.64, 5296.34, 5296.34, 25.4330, 1.1736
4.30, 900, 301.24, 5705.44, 5300.54, 5300.54, 25.4387, 1.1743
4.30, 950, 301.25, 5711.83, 5304.45, 5304.45, 25.4439, 1.1750
4.30, 1000, 301.26, 5717.83, 5308.10, 5308.10, 25.4488, 1.1757
4.40, 100, 301.29, 5424.33, 5118.50, 5118.50, 25.3010, 1.1446
4.40, 150, 301.49, 5485.28, 5164.94, 5164.94, 25.3619, 1.1486
4.40, 200, 301.62, 5527.65, 5196.55, 5196.55, 25.4034, 1.1517
4.40, 250, 301.72, 5559.94, 5220.23, 5220.23, 25.4346, 1.1541
4.40, 300, 301.79, 5585.92, 5239.00, 5239.00, 25.4593, 1.1561
4.40, 350, 301.85, 5607.58, 5254.45, 5254.45, 25.4798, 1.1579
4.40, 400, 301.90, 5626.10, 5267.50, 5267.50, 25.4970, 1.1594
4.40, 450, 301.95, 5642.25, 5278.76, 5278.76, 25.5120, 1.1608
4.40, 500, 301.98, 5656.53, 5288.62, 5288.62, 25.5250, 1.1620
4.40, 550, 302.02, 5669.32, 5297.36, 5297.36, 25.5367, 1.1632
4.40, 600, 302.05, 5680.88, 5305.20, 5305.20, 25.5471, 1.1642
4.40, 650, 302.07, 5691.41, 5312.28, 5312.28, 25.5565, 1.1652
4.40, 700, 302.10, 5701.07, 5318.74, 5318.74, 25.5651, 1.1661
4.40, 750, 302.12, 5710.00, 5324.65, 5324.65, 25.5730, 1.1669
4.40, 800, 302.14, 5718.28, 5330.10, 5330.10, 25.5803, 1.1677
4.40, 850, 302.16, 5725.99, 5335.15, 5335.15, 25.5871, 1.1685
4.40, 900, 302.17, 5733.21, 5339.85, 5339.85, 25.5933, 1.1692
4.40, 950, 302.19, 5739.99, 5344.23, 5344.23, 25.5992, 1.1698
4.40, 1000, 302.20, 5746.38, 5348.33, 5348.33, 25.6047, 1.1705
4.50, 100, 302.07, 5436.90, 5137.01, 5137.01, 25.4264, 1.1418
4.50, 150, 302.29, 5499.35, 5185.72, 5185.72, 25.4903, 1.1455
4.50, 200, 302.44, 5542.90, 5219.10, 5219.10, 25.5342, 1.1483
4.50, 250, 302.54, 5576.18, 5244.24, 5244.24, 25.5673, 1.1505
4.50, 300, 302.62, 5603.02, 5264.26, 5264.26, 25.5938, 1.1524
4.50, 350, 302.69, 5625.44, 5280.80, 5280.80, 25.6156, 1.1540
4.50, 400, 302.75, 5644.65, 5294.83, 5294.83, 25.6342, 1.1554
4.50, 450, 302.79, 5661.42, 5306.97, 5306.97, 25.6503, 1.1567
4.50, 500, 302.84, 5676.28, 5317.64, 5317.64, 25.6644, 1.1579
4.50, 550, 302.87, 5689.60, 5327.13, 5327.13, 25.6770, 1.1589
4.50, 600, 302.91, 5701.67, 5335.66, 5335.66, 25.6883, 1.1599
4.50, 650, 302.94, 5712.67, 5343.39, 5343.39, 25.6986, 1.1608
4.50, 700, 302.96, 5722.79, 5350.45, 5350.45, 25.7080, 1.1616
4.50, 750, 302.99, 5732.13, 5356.93, 5356.93, 25.7166, 1.1624
4.50, 800, 303.01, 5740.81, 5362.91, 5362.91, 25.7246, 1.1632
4.50, 850, 303.03, 5748.91, 5368.47, 5368.47, 25.7320, 1.1639
4.50, 900, 303.05, 5756.50, 5373.64, 5373.64, 25.7389, 1.1645
4.50, 950, 303.07, 5763.63, 5378.48, 5378.48, 25.7453, 1.1652
4.50, 1000, 303.08, 5770.35, 5383.01, 5383.01, 25.7514, 1.1658
4.60, 100, 302.79, 5447.05, 5152.10, 5152.10, 25.5450, 1.1395
4.60, 150, 303.03, 5510.73, 5202.73, 5202.73, 25.6116, 1.1429
4.60, 200, 303.19, 5555.27, 5237.61, 5237.61, 25.6576, 1.1455
4.60, 250, 303.31, 5589.38, 5264.01, 5264.01, 25.6924, 1.1475
4.60, 300, 303.40, 5616.94, 5285.12, 5285.12, 25.7203, 1.1493
4.60, 350, 303.47, 5640.00, 5302.62, 5302.62, 25.7435, 1.1507
4.60, 400, 303.53, 5659.80, 5317.52, 5317.52, 25.7632, 1.1520
4.60, 450, 303.58, 5677.11, 5330.44, 5330.44, 25.7803, 1.1532
4.60, 500, 303.63, 5692.46, 5341.84, 5341.84, 25.7954, 1.1543
4.60, 550, 303.67, 5706.25, 5351.99, 5351.99, 25.8089, 1.1552
4.60, 600, 303.71, 5718.74, 5361.14, 5361.14, 25.8211, 1.1561
4.60, 650, 303.74, 5730.15, 5369.45, 5369.45, 25.8321, 1.1570
4.60, 700, 303.77, 5740.65, 5377.06, 5377.06, 25.8422, 1.1577
4.60, 750, 303.80, 5750.37, 5384.05, 5384.05, 25.8515, 1.1585
4.60, 800, 303.82, 5759.39, 5390.53, 5390.53, 25.8601, 1.1592
4.60, 850, 303.84, 5767.83, 5396.54, 5396.54, 25.8682, 1.1598
4.60, 900, 303.87, 5775.73, 5402.16, 5402.16, 25.8756, 1.1604
4.60, 950, 303.89, 5783.17, 5407.41, 5407.41, 25.8826, 1.1610
4.60, 1000, 303.90, 5790.19, 5412.36, 5412.36, 25.8892, 1.1616
4.70, 100, 303.46, 5455.07, 5164.19, 5164.19, 25.6574, 1.1376
4.70, 150, 303.72, 5519.77, 5216.41, 5216.41, 25.7263, 1.1408
4.70, 200, 303.89, 5565.11, 5252.56, 5252.56, 25.7741, 1.1432
4.70, 250, 304.01, 5599.91, 5280.02, 5280.02, 25.8104, 1.1451
4.70, 300, 304.11, 5628.07, 5302.05, 5302.05, 25.8396, 1.1466
4.70, 350, 304.19, 5651.67, 5320.38, 5320.38, 25.8639, 1.1480
